fulltimeemployees,auditrisk,boardrisk,compensationrisk,shareholderrightsrisk,overallrisk,payoutratio,beta,trailingpe,forwardpe,volume,regularmarketvolume,averagevolume,averagevolume10days,averagedailyvolume10day,bid,bidsize,asksize,marketcap,fiftytwoweeklow,fiftytwoweekhigh,pricetosalestrailing12months,twohundreddayaverage,trailingannualdividendrate,trailingannualdividendyield,enterprisevalue,profitmargins,floatshares,sharesoutstanding,sharesshort,sharesshortpriormonth,sharespercentsharesout,heldpercentinsiders,heldpercentinstitutions,shortratio,shortpercentoffloat,impliedsharesoutstanding,bookvalue,pricetobook,lastfiscalyearend,nextfiscalyearend,netincometocommon,trailingeps,forwardeps,enterprisetorevenue,enterprisetoebitda,52weekchange,targetmedianprice,recommendationmean,numberofanalystopinions,totalcash,totalcashpershare,ebitda,totaldebt,quickratio,currentratio,totalrevenue,debttoequity,revenuepershare,returnonassets,returnonequity,grossprofits,freecashflow,operatingcashflow,revenuegrowth,grossmargins,ebitdamargins,operatingmargins,regularmarketchangepercent,postmarketchangepercent,postmarketchange,regularmarketchange,epstrailingtwelvemonths,epsforward,epscurrentyear,priceepscurrentyear,fiftydayaveragechange,fiftydayaveragechangepercent,twohundreddayaveragechange,twohundreddayaveragechangepercent,averagedailyvolume3month,fiftytwoweeklowchange,fiftytwoweeklowchangepercent,fiftytwoweekhighchange,fiftytwoweekhighchangepercent,fiftytwoweekchangepercent,trailingpegratio,ticker,dividendrate,dividendyield,fiveyearavgdividendyield,earningsquarterlygrowth,lastdividendvalue,earningsgrowth,esg_risk_level,regularmarketdayrange_min,regularmarketdayrange_max,fiftytwoweekrange_min,fiftytwoweekrange_max
2781.0,6.0,7.0,9.0,10.0,9.0,0.0,1.801,36.36697,10.830601,10168324.0,10168324.0,5963127.0,11089990.0,11089990.0,39.54,11.0,1.0,5201045504.0,37.59,141.63,3.6546574,75.5023,0.0,0.0,4968794112.0,0.10434,126957223.0,131207000.0,16789560.0,18320382.0,0.128,0.032279998,0.93586,3.24,0.17549999,131207000.0,6.18,6.4142394,1735603200.0,1767139200.0,148484992.0,1.09,3.66,3.491,21.987,-0.6936157,50.5,2.61538,36.0,1466856960.0,11.18,225983008.0,1234605056.0,1.496,1.895,1423128064.0,152.289,10.608,0.03012,0.17132,524371008.0,358479744.0,512905984.0,0.352,0.36846,0.15878999,0.098529994,4.302061,0.277499,0.110001,1.6349983,1.09,3.66,2.44745,16.19645,-12.7644005,-0.24357498,-35.862297,-0.47498286,5963127.0,2.0499992,0.05453576,-101.990005,-0.7201158,-69.361565,0.4776,ENPH,0.0,0.0,0.0,0.24962642369020502,0.0,0.22651258581235703,,37.6,39.97,37.59,141.63
14000.0,7.0,8.0,7.0,6.0,7.0,0.41779998,1.304,10.259872,9.257472,1056459.0,1056459.0,1429998.0,1417400.0,1417400.0,79.98,8.0,9.0,9299148800.0,70.9,114.5,0.99328655,95.4248,3.28,0.040314652,14062068736.0,0.09847999,114438757.0,115460000.0,3198611.0,2944720.0,0.0277,0.00756,0.93054,1.75,0.0321,115460000.0,50.871,1.5832204,1735603200.0,1767139200.0,922000000.0,7.85,8.7,1.502,7.313,-0.20043683,92.5,1.85,20.0,418000000.0,3.622,1923000064.0,5112000000.0,0.739,1.719,9361999872.0,86.003,80.603,0.059520002,0.16032,2332000000.0,532375008.0,1136000000.0,-0.009,0.24909,0.2054,0.1393,-1.00787,0.633228,0.510002,-0.82,7.85,8.7,7.41324,10.864346,-0.985199,-0.012084594,-14.884796,-0.15598457,1429998.0,9.639999,0.13596614,-33.96,-0.29659387,-20.043682,2.0155,EMN,3.32,4.12,3.22,0.103,0.83,0.13,Medium,79.535,80.77,70.9,114.5
6400.0,5.0,5.0,8.0,8.0,7.0,0.35950002,1.161,27.54759,27.235262,352287.0,352287.0,653724.0,451350.0,451350.0,477.9,1.0,1.0,16450643968.0,396.06,538.44,3.4751272,446.0303,6.27,0.0130012855,22485614592.0,0.12844,33254603.0,34241500.0,1592194.0,1526648.0,0.0465,0.08071,0.93183,2.22,0.052699998,36813500.0,-112.88,-4.2561126,1735430400.0,1766966400.0,607996992.0,17.44,17.64,4.75,24.048,-0.05627799,530.0,1.90323,28.0,295352000.0,8.117,935030976.0,5299667968.0,0.358,0.599,4733825024.0,143.13962443438913,136.902,0.30322,0.30343038607803835,1346251008.0,474226624.0,680508992.0,0.031,0.28439,0.19752,0.18064,-0.3794669,0.0541202,0.26001,-1.8300171,17.44,17.64,17.75041,27.065853,9.378998,0.01991079,34.39969,0.077124104,653724.0,84.369995,0.21302328,-58.01001,-0.10773718,-5.627799,2.8275,DPZ,6.96,1.45,1.06,0.215,1.74,0.301,Medium,476.52,481.93,396.06,538.44
9600.0,8.0,10.0,8.0,7.0,9.0,0.0,1.172,357.6875,25.895927,1059142.0,1059142.0,2043320.0,1493670.0,1493670.0,57.4,10.0,8.0,9149988864.0,47.08,82.69,5.0544047,64.09455,0.0,0.0,9823893504.0,0.0143099995,156677052.0,159880992.0,7606815.0,7482389.0,0.0476,0.01234,1.09411,4.35,0.086899996,159880992.0,16.201,3.532498,1735603200.0,1767139200.0,25900000.0,0.16,2.21,5.427,42.072,0.056293845,68.0,1.94737,17.0,557299968.0,3.486,233500000.0,1231200000.0,0.137,1.021,1810300032.0,47.498,11.427,0.00551,0.01031,911400000.0,267812496.0,321600000.0,0.117,0.50345004,0.12898,0.054380003,-1.91945,-0.0031594732,-0.0018081665,-1.12,0.16,2.21,2.27933,25.108255,0.15819931,0.0027719347,-6.8645515,-0.10710039,2043320.0,10.149998,0.21559043,-25.460003,-0.307897,5.6293845,3.274436165048544,DAY,0.0,0.0,0.0,1.099,0.0,1.25,,56.885,57.73,47.08,82.69
76000.0,8.0,2.0,3.0,3.0,1.0,0.0,1.141,13.72294,12.261757,605497.0,605497.0,891208.0,954560.0,954560.0,136.0,8.0,9.0,10443985920.0,131.76,179.6,0.80533344,153.9371,0.0,0.0,24168810496.0,0.06628,37882880.0,75577000.0,4841988.0,4426505.0,0.063,0.49776,0.49846,5.5,0.1193,82999200.0,-3.456,-39.98553,1735603200.0,1767139200.0,859609984.0,10.07,11.27,1.864,9.088,-0.03814298,164.0,2.9,9.0,511943008.0,6.781,2659367936.0,12320337920.0,1.125,1.251,12968523776.0,742.203,156.456,0.07041,0.54794,4209318912.0,1583755776.0,2336882944.0,0.05,0.32458,0.20506,0.13442999,-0.238234,0.0,0.0,-0.330002,10.07,11.27,10.9271,12.64654,-7.220001,-0.049652714,-15.747101,-0.10229568,891208.0,6.430008,0.04880091,-41.410004,-0.23056795,-3.814298,1.8868,DVA,0.0,0.0,0.0,-0.32,0.0,-0.245,Medium,136.5,138.63,131.76,179.6
191105.0,6.0,2.0,5.0,1.0,1.0,0.62049997,0.738,23.001127,19.320076,901463.0,901463.0,1457840.0,2223910.0,2223910.0,202.39,8.0,8.0,23875645440.0,135.87,211.82,2.029845,179.4935,5.51,0.027025701,31534493696.0,0.0896,116413028.0,117026000.0,6425453.0,4926481.0,0.054899998,0.00415,0.95713997,5.02,0.0744,117026000.0,18.813,10.844629,1716681600.0,1748217600.0,1057000000.0,8.87,10.56,2.681,16.997,0.37553942,215.0,2.09677,28.0,224200000.0,1.916,1855299968.0,7882999808.0,0.127,0.386,11762299904.0,357.83,99.596,0.07198,0.48222,2534500096.0,765237504.0,1667600000.0,0.062,0.21548,0.15773,0.13246,0.0686675,0.2940843,0.59999084,0.139999,8.87,10.56,9.49364,21.490177,3.5151978,0.017531738,24.526505,0.13664286,1457840.0,68.15001,0.5015825,-7.800003,-0.03682373,37.553944,2.0009,DRI,5.6,2.74,2.75,0.034,1.4,0.055,Medium,201.92,204.65,135.87,211.82
13800.0,4.0,1.0,2.0,7.0,2.0,0.3224,0.943,29.136202,25.643534,2732205.0,2732205.0,2901751.0,2861250.0,2861250.0,162.0,9.0,8.0,72381915136.0,139.7,200.33,7.794736,172.3844,1.796,0.011088473,77419921408.0,0.27116,444402226.0,445208000.0,9332612.0,6896025.0,0.0209,0.00227,0.96275,3.09,0.0209,445208000.0,10.436,15.578766,1735603200.0,1767139200.0,2518000128.0,5.58,6.34,8.337,20.021,-0.05090487,195.0,1.73684,16.0,1740999936.0,3.911,3867000064.0,6778999808.0,0.916,1.736,9285999616.0,145.628,20.562,0.15108,0.52085996,6589000192.0,2299624960.0,2944999936.0,0.014,0.70956004,0.41643003,0.38108003,0.376613,0.0,0.0,0.610001,5.58,6.34,6.22773,26.105822,5.2257996,0.033210423,-9.804398,-0.056875203,2901751.0,22.880005,0.16377957,-37.75,-0.18843907,-5.090487,2.7676,ZTS,2.0,1.23,0.73,0.053,0.5,0.078,Low,160.15,163.0,139.7,200.33
17000.0,3.0,2.0,6.0,4.0,2.0,0.2133,0.781,20.586666,10.772093,3141027.0,3141027.0,2324954.0,2760660.0,2760660.0,89.5,9.0,9.0,18328639488.0,89.92,117.45,2.3808064,106.0948,0.96,0.010472346,24278228992.0,0.11865,197252372.0,197848000.0,6268513.0,7195353.0,0.0317,0.00148,0.95348,2.8,0.0363,197848000.0,62.633,1.4790925,1735603200.0,1767139200.0,913400000.0,4.5,8.6,3.154,9.504,-0.20364481,104.0,2.55172,26.0,1384499968.0,6.998,2554400000.0,7325400064.0,1.271,2.436,7698500096.0,59.058,38.201,0.044180002,0.07318,5481299968.0,1321200000.0,1654200064.0,0.011,0.71199995,0.3318,0.17851,1.05814,-0.49654478,-0.45999908,0.970001,4.5,8.6,7.9779,11.612079,-9.810402,-0.095757574,-13.454803,-0.12681869,2324954.0,2.7200012,0.030249124,-24.809998,-0.21123882,-20.364481,1.2075,ZBH,0.96,1.04,0.77,0.056,0.24,0.083,Medium,90.2,94.0,89.92,117.45
9900.0,1.0,8.0,4.0,9.0,8.0,0.0,1.746,26.888363,17.718826,325273.0,325273.0,676085.0,603070.0,603070.0,283.43,1.0,1.0,14453300224.0,205.73,427.76,2.8262222,340.49045,0.0,0.0,15935307776.0,0.10735,50409352.0,50854300.0,734169.0,675632.0,0.014400001,0.0064700004,0.93233,0.88,0.0165,50854300.0,70.906,4.0082645,1735603200.0,1767139200.0,549000000.0,10.57,16.04,3.116,16.548,-0.1288315,315.0,1.94737,17.0,879000000.0,17.285,963000000.0,2360999936.0,0.959,1.449,5113999872.0,65.113,99.322,0.06539,0.16159001,2495000064.0,888625024.0,1066000000.0,0.113,0.48788,0.18831,0.15138,-1.4391712,0.0,0.0,-4.149994,10.57,16.04,14.58293,19.489225,20.557587,0.07797231,-56.280457,-0.16529232,676085.0,78.479996,0.38147086,-143.55002,-0.33558542,-12.88315,1.253,ZBRA,0.0,0.0,0.0,0.183,0.0,0.175,,280.48,285.205,205.73,427.76
40000.0,2.0,2.0,8.0,7.0,4.0,0.5418,0.769,28.974104,23.922697,1062930.0,1062930.0,2257633.0,1754550.0,1754550.0,141.84,8.0,8.0,40430006272.0,122.13,163.3,5.2248654,140.1778,2.76,0.018969072,52048936960.0,0.18416001,277233454.0,277964992.0,4398459.0,6163492.0,0.015800001,0.0017200001,0.85442,1.57,0.018,277964992.0,-28.072,-5.181319,1735603200.0,1767139200.0,1424999936.0,5.02,6.08,6.726,18.948,0.0705874,158.5,2.62069,24.0,607000000.0,2.184,2747000064.0,12225999872.0,1.111,1.403,7737999872.0,143.13962443438913,27.488,0.24858,0.30343038607803835,3620999936.0,1278625024.0,1730000000.0,0.118,0.46795,0.355,0.32121,-0.0343664,0.7493959,1.0899963,-0.0500031,5.02,6.08,6.02887,24.125582,-4.2798004,-0.028583491,5.2722015,0.037610818,2257633.0,23.32,0.19094408,-17.850006,-0.10930806,7.0587397,2.1341,YUM,2.84,1.95,1.81,-0.194,0.71,-0.182,Medium,144.66,145.9,122.13,163.3
