feature,importance
sectorkey_energy,0.35179822599118354
enterprisetoebitda,0.2177680489234012
regularmarketchangepercent,0.1998316459268152
beta,0.18975522248326845
revenuepershare,0.18478579653571647
auditrisk,0.16915848671326025
state_TX,0.1676445961748878
pricetobook,0.16678234158823926
regularmarketchange,0.16140791850873829
pricetosalestrailing12months,0.16098812758752196
enterprisetorevenue,0.1569757902188934
firsttradedatemilliseconds,0.15521995705467365
priceepscurrentyear,0.14930366205798054
totaldebt,0.14804398976705638
industrykey_aerospace-defense,0.14716843327298954
grossmargins,0.14693226103563062
industrykey_oil-gas-e-p,0.13901023234445956
forwardpe,0.13777184127875594
totalrevenue,0.134017518506375
heldpercentinstitutions,0.13185064492591908
bidsize,0.12875431190736722
heldpercentinsiders,0.12685757951708507
bookvalue,0.12673582531655844
shortratio,0.12641870836628877
quickratio,0.12389291487927133
fiveyearavgdividendyield,0.12334583948066656
trailingpe,0.1220905148199123
profitmargins,0.11940898371040569
averagevolume10days,0.11879360319692349
currentratio,0.1179440656029996
recommendationmean,0.11775848098434284
operatingmargins,0.11637407966138412
averagevolume,0.11474419122259387
averagedailyvolume10day,0.11269213548341962
sharespercentsharesout,0.11268922253749235
asksize,0.10884205979932197
ebitda,0.1081487321920455
averagedailyvolume3month,0.10754908310984569
ebitdamargins,0.10682996238388821
revenuegrowth,0.1044290682708096
sharesshortpriormonth,0.1043952138890744
debttoequity,0.10398131116148152
fiftydayaveragechangepercent,0.10337360720062984
earningstimestampend,0.10275855502969904
earningstimestampstart,0.1026515975666396
shortpercentoffloat,0.10244820943068018
freecashflow,0.10236182803916259
totalcashpershare,0.10175726149937132
fiftydayaveragechange,0.10090442353436706
payoutratio,0.10037325295116328
fulltimeemployees,0.098285122675198
sectorkey_technology,0.09693300843830344
trailingannualdividendyield,0.09364693610865216
dividendyield,0.09258999443915454
sharesshort,0.09256228180726132
returnonequity,0.09193201336941115
twohundreddayaveragechange,0.09153217557984898
operatingcashflow,0.09016905533356652
trailingpegratio,0.08970321707352102
numberofanalystopinions,0.08959299156860635
sectorkey_consumer-defensive,0.08879145888690039
52weekchange,0.08713570888410756
fiftytwoweekchangepercent,0.08612093926781318
postmarketchangepercent,0.08567492607259587
fiftytwoweekhighchangepercent,0.08552736589900782
lastdividendvalue,0.08514615802532599
returnonassets,0.08498085059705719
fiftytwoweekhighchange,0.08475426079058253
postmarketchange,0.0847016923024471
sectorkey_industrials,0.08351646691231114
floatshares,0.08300044386746862
twohundreddayaveragechangepercent,0.08077917747953942
regularmarketvolume,0.08067448602747583
volume,0.08061961575198635
totalcash,0.0797333554454649
earningsgrowth,0.07899107687334121
grossprofits,0.07708209086452379
dividendrate,0.07665523334382777
trailingannualdividendrate,0.07626459464022771
overallrisk,0.07493605021787272
earningsquarterlygrowth,0.07434025583558122
netincometocommon,0.07426393504419908
sharesoutstanding,0.07402624944049187
impliedsharesoutstanding,0.07362368429713963
fiftytwoweeklowchangepercent,0.07198146764921295
marketcap,0.0715862428158159
exchange_NYQ,0.07023347746251722
enterprisevalue,0.06914232594123075
compensationrisk,0.06792887018685205
shareholderrightsrisk,0.06711287572849338
boardrisk,0.06639691700090349
forwardeps,0.06625542409440108
epsforward,0.06573594848566296
fiftytwoweeklowchange,0.06401961770596844
nextfiscalyearend,0.0625458945481184
targetlowprice,0.060398809881283905
trailingeps,0.060145367759380154
epstrailingtwelvemonths,0.060067933499800115
lastfiscalyearend,0.059783670334358156
epscurrentyear,0.059373050054015185
mostrecentquarter,0.05720789425264955
sectorkey_real-estate,0.05614086466315658
targetmedianprice,0.05347782476447271
fiftytwoweekhigh,0.053319086871754844
targethighprice,0.05193297667394748
fiftytwoweekrange_max,0.051636883526932416
fiftytwoweeklow,0.050963652267295295
twohundreddayaverage,0.05092015061953565
fiftytwoweekrange_min,0.04815352920465198
bid,0.047665127037964626
targetmeanprice,0.047361689812155584
postmarketprice,0.04627261994188597
sectorkey_basic-materials,0.04550222357564679
daylow,0.04415639337980699
open,0.04380149202725445
dayhigh,0.04307472638788377
regularmarketopen,0.043073281437550175
regularmarketdayrange_max,0.04218623343005722
regularmarketdaylow,0.0413780589583362
fiftydayaverage,0.041067880560926306
regularmarketdayhigh,0.041044599963380834
previousclose,0.040396316633642806
regularmarketdayrange_min,0.039940396862923805
regularmarketprice,0.03960579612576043
regularmarketpreviousclose,0.03894025877510931
ask,0.038635284198116716
currentprice,0.03821187296095246
recommendationkey_strong_buy,0.03621175017634087
state_CA,0.03350794018901236
state_PA,0.031804898643886303
industrykey_farm-products,0.030732475621672015
state_VA,0.027656696186335317
industrykey_steel,0.02602021372228205
recommendationkey_hold,0.025344877060201203
sectorkey_utilities,0.024943349289732932
state_AZ,0.0233284583959054
sectorkey_consumer-cyclical,0.021031210676375683
sectorkey_financial-services,0.01906373600797359
sectorkey_healthcare,0.018262037072839053
recommendationkey_buy,0.01777593593701713
industrykey_packaged-foods,0.017340108221862067
industrykey_utilities-regulated-electric,0.017193941669004415
state_NC,0.01717486481246049
industrykey_oil-gas-refining-marketing,0.017052211804414418
industrykey_airlines,0.01617618532682297
industrykey_building-materials,0.016078557062150518
state_OH,0.01358029592979705
exchange_NMS,0.013314397603665706
industrykey_tobacco,0.00912484140677844
industrykey_conglomerates,0.008873370485020146
industrykey_engineering-construction,0.008378587323908617
state_NY,0.008290292455017669
industrykey_oil-gas-integrated,0.007354637714429846
state_FL,0.007179390172061596
state_GA,0.007118569641275725
state_IN,0.007048808634624845
state_MN,0.006995395829641121
industrykey_specialty-industrial-machinery,0.006508993915958501
state_MD,0.005828986188743041
state_IL,0.005797684189733854
state_MO,0.005740248067898839
sectorkey_communication-services,0.005648562551577436
industrykey_medical-care-facilities,0.004984462773491466
industrykey_information-technology-services,0.004942992552395289
industrykey_specialty-chemicals,0.004827668520229177
industrykey_agricultural-inputs,0.004809314183805775
industrykey_semiconductors,0.0047955047387214025
industrykey_utilities-independent-power-producers,0.004721607049747156
industrykey_drug-manufacturers-general,0.004577286052266923
industrykey_medical-instruments-supplies,0.004410974263952822
industrykey_internet-content-information,0.003978230328570355
state_MA,0.003892820544266248
state_WA,0.003809248363365127
country_United States,0.003807395372648382
state_RI,0.003652135710222781
industrykey_copper,0.003475368127362676
industrykey_medical-devices,0.003337357643264186
industrykey_restaurants,0.0032580008807406393
industrykey_banks-diversified,0.0031479423520162637
industrykey_diagnostics-research,0.0028054647286697636
state_MI,0.002648005607956396
industrykey_auto-parts,0.0025300345841163725
industrykey_oil-gas-midstream,0.0025192577953305354
industrykey_oil-gas-equipment-services,0.002489145476681232
state_NJ,0.0024219726822056775
industrykey_insurance-life,0.0024081677658549863
industrykey_scientific-technical-instruments,0.002386853921234519
industrykey_farm-heavy-construction-machinery,0.0022608997471062577
state_CT,0.0022532268057867543
industrykey_discount-stores,0.002229040092299572
recommendationkey_none,0.0022071362430456814
industrykey_insurance-property-casualty,0.0021565252044119213
industrykey_utilities-regulated-gas,0.0020621330595919744
state_WI,0.0019693351331292
industrykey_residential-construction,0.0018352529332713108
industrykey_tools-accessories,0.0018308380487211103
state_TN,0.001816906053253007
industrykey_computer-hardware,0.0018019227202462848
country_Ireland,0.0017972521862182518
industrykey_software-infrastructure,0.0017771784053834283
industrykey_asset-management,0.0017449733373530029
state_AR,0.0017216854028321473
industrykey_packaging-containers,0.0016732373864866668
industrykey_railroads,0.0016295799494957686
industrykey_banks-regional,0.0015617659545579291
industrykey_consulting-services,0.001542067039629131
industrykey_internet-retail,0.0014354865753656596
state_AL,0.0014058868472386547
industrykey_financial-data-stock-exchanges,0.001378550357018724
industrykey_credit-services,0.0013339227237015754
state_OK,0.001314583197645557
industrykey_integrated-freight-logistics,0.0012998198631696209
industrykey_healthcare-plans,0.0012481751704342904
industrykey_telecom-services,0.001201774911205865
industrykey_household-personal-products,0.0011809029836279585
industrykey_advertising-agencies,0.0011398945497523019
industrykey_specialty-retail,0.0011126840919304358
industrykey_entertainment,0.0010286269821600258
state_CO,0.0010044916213151685
industrykey_beverages-non-alcoholic,0.0009732513893217764
industrykey_reit-specialty,0.0009644901079440725
industrykey_insurance-brokers,0.0009331485188274568
country_Switzerland,0.0009272530847388266
industrykey_medical-distribution,0.0009188272295169347
industrykey_capital-markets,0.0008848451277415826
industrykey_insurance-diversified,0.0007664289766237208
industrykey_software-application,0.0007360281200032651
industrykey_electronic-components,0.0007139980343052046
industrykey_travel-services,0.0006967471271404875
state_KY,0.0006964606860941154
industrykey_waste-management,0.0006540699558871105
industrykey_biotechnology,0.0006345495739255496
industrykey_communication-equipment,0.0006325842229790271
country_United Kingdom,0.0006233720861736793
state_NV,0.000617768200717457
state_IA,0.0006124878433707374
industrykey_specialty-business-services,0.0006052634194047606
industrykey_reit-residential,0.0005781559988455747
industrykey_food-distribution,0.0005720185611104966
industrykey_resorts-casinos,0.0005534783979267324
regularmarkettime,0.000542852031351032
industrykey_reit-retail,0.0005367274945636832
industrykey_gold,0.0005351344358070422
industrykey_auto-manufacturers,0.0005229732889118666
industrykey_real-estate-services,0.0005050539695562282
dateshortinterest,0.0004464083646647989
state_NE,0.00043860678363870717
industrykey_apparel-retail,0.0003773502637003767
industrykey_grocery-stores,0.00037115104024258385
industrykey_personal-services,0.00035254931136296017
industrykey_lodging,0.0003461557799014151
sharesshortpreviousmonthdate,0.00033769442669040126
industrykey_confectioners,0.00033211859768879533
country_Bermuda,0.000329854645156046
industrykey_building-products-equipment,0.00032317572638316616
industrykey_beverages-brewers,0.0003231301942835686
state_DC,0.00032312405382554476
industrykey_home-improvement-retail,0.000318377948455039
industrykey_furnishings-fixtures-appliances,0.00028241460037346485
industrykey_footwear-accessories,0.0002723348372689518
industrykey_leisure,0.0002702934023692576
country_Netherlands,0.00026203017914694273
country_Singapore,0.0002613764361229763
industrykey_rental-leasing-services,0.00025850564867406836
industrykey_reit-hotel-motel,0.00024204488049161708
country_Canada,0.00022276680572402645
industrykey_industrial-distribution,0.00022227550312611127
industrykey_drug-manufacturers-specialty-generic,0.00022184859770299278
industrykey_security-protection-services,0.00021938065043346783
industrykey_reit-industrial,0.00020798224419266913
state_DE,0.00019510374370252173
state_OR,0.00017910614921263344
industrykey_electrical-equipment-parts,0.0001785093841719356
industrykey_insurance-reinsurance,0.00017651169841474465
industrykey_electronic-gaming-multimedia,0.0001746877134902704
industrykey_chemicals,0.00017307875659240476
exchange_BTS,0.0001572870566640996
industrykey_semiconductor-equipment-materials,0.00015687874637056537
industrykey_reit-healthcare-facilities,0.000152010790604159
state_NH,0.00013568708664514893
industrykey_reit-office,0.0001352826873326918
industrykey_utilities-regulated-water,0.00013067848585573307
industrykey_staffing-employment-services,0.00012230045950346405
industrykey_utilities-diversified,9.05346114217783e-05
recommendationkey_underperform,7.41843307863725e-05
industrykey_pharmaceutical-retailers,5.905243246420466e-05
state_ID,5.6372475191021164e-05
industrykey_auto-truck-dealerships,3.9435032577565426e-05
state_LA,3.200740463890557e-05
industrykey_luxury-goods,3.0082475087398666e-05
state_BC,2.0649604944647444e-05
industrykey_consumer-electronics,1.279016938525996e-05
industrykey_apparel-manufacturing,1.204517795962088e-05
state_ME,7.68759534420007e-06
state_UT,7.061347740330497e-06
state_MT,0.0
industrykey_trucking,0.0
maxage,0.0
exchangedatadelayedby,0.0
sourceinterval,0.0
industrykey_solar,0.0
pricehint,0.0
gmtoffsetmilliseconds,0.0
industrykey_utilities-renewable,0.0
industrykey_health-information-services,0.0
sandp52weekchange,0.0
industrykey_pollution-treatment-controls,0.0
industrykey_reit-diversified,0.0
exchange_NGM,0.0
