,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Financial Services,63000,0.39666666666666667,0.38663898622253995,0.3484977777777778,0.3171117048295504,0.5548544114406834,0.39666666666666667,0.453021333979913
Technology,63000,0.4694920634920635,0.34892799206093,0.35807232704402514,0.3038243274840771,0.7339411178700952,0.4694920634920635,0.5534264606525849
Industrials,58000,0.3536206896551724,0.36522368712791803,0.34207649572649573,0.342778707660502,0.41137694522805757,0.3536206896551724,0.37188741466217873
Healthcare,53000,0.3910754716981132,0.41126085903227255,0.4382539682539683,0.33054873882082886,0.597043950005682,0.3910754716981132,0.4603928644045415
Consumer Cyclical,51000,0.3315294117647059,0.3458185602285168,0.2787467532467532,0.2751210484206246,0.5110589473512903,0.3315294117647059,0.3959738134169802
Consumer Defensive,33000,0.4633030303030303,0.43683598661957074,0.4672002164502165,0.4002230922812022,0.6233139482054777,0.4633030303030303,0.4823274974504688
Real Estate,28000,0.78675,0.323318505788532,0.2822345679012346,0.29857628200040964,0.9271036145378011,0.78675,0.85087241805084
Utilities,28000,0.5350357142857143,0.2836562744657427,0.2787857142857143,0.2796935171128361,0.5698896383996305,0.5350357142857143,0.5508038370898001
Basic Materials,19000,0.34410526315789475,0.3130097554320519,0.30244949494949497,0.2930551555402947,0.422275228144291,0.34410526315789475,0.3660336678400415
Energy,19000,0.6043157894736843,0.3410024107007248,0.3417142857142857,0.34124443652002706,0.6117946789081146,0.6043157894736843,0.6079432470646726
Communication Services,14000,0.32021428571428573,0.3196134146828751,0.23303333333333334,0.26526044785242836,0.4608462559384683,0.32021428571428573,0.37644139051226594
